"행정구역","2022년07월_계_총인구수","2022년07월_계_연령구간인구수","2022년07월_계_0~9세","2022년07월_남_총인구수","2022년07월_남_연령구간인구수","2022년07월_남_0~9세","2022년07월_여_총인구수","2022년07월_여_연령구간인구수","2022년07월_여_0~9세","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년09월_계_총인구수","2022년09월_계_연령구간인구수","2022년09월_계_0~9세","2022년09월_남_총인구수","2022년09월_남_연령구간인구수","2022년09월_남_0~9세","2022년09월_여_총인구수","2022년09월_여_연령구간인구수","2022년09월_여_0~9세","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~9세","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~9세","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~9세","2022년11월_계_총인구수","2022년11월_계_연령구간인구수","2022년11월_계_0~9세","2022년11월_남_총인구수","2022년11월_남_연령구간인구수","2022년11월_남_0~9세","2022년11월_여_총인구수","2022년11월_여_연령구간인구수","2022년11월_여_0~9세","2022년12월_계_총인구수","2022년12월_계_연령구간인구수","2022년12월_계_0~9세","2022년12월_남_총인구수","2022년12월_남_연령구간인구수","2022년12월_남_0~9세","2022년12월_여_총인구수","2022년12월_여_연령구간인구수","2022년12월_여_0~9세"
"경기도 경기도 고양시 (4128000000)","1,078,189","75,528","75,528","526,724","38,348","38,348","551,465","37,180","37,180","1,077,198","75,111","75,111","526,156","38,148","38,148","551,042","36,963","36,963","1,074,705","74,606","74,606","524,853","37,863","37,863","549,852","36,743","36,743","1,074,784","74,235","74,235","524,837","37,704","37,704","549,947","36,531","36,531","1,075,202","73,997","73,997","524,999","37,590","37,590","550,203","36,407","36,407","1,076,535","73,927","73,927","525,741","37,568","37,568","550,794","36,359","36,359"
"경기도 경기도 고양시 덕양구 (4128100000)","485,368","36,227","36,227","239,053","18,409","18,409","246,315","17,818","17,818","485,763","36,141","36,141","239,265","18,382","18,382","246,498","17,759","17,759","485,231","36,031","36,031","238,940","18,330","18,330","246,291","17,701","17,701","486,427","36,128","36,128","239,515","18,385","18,385","246,912","17,743","17,743","487,874","36,231","36,231","240,152","18,419","18,419","247,722","17,812","17,812","490,088","36,464","36,464","241,283","18,522","18,522","248,805","17,942","17,942"
"경기도 경기도 고양시 일산동구 (4128500000)","298,974","19,452","19,452","145,264","9,909","9,909","153,710","9,543","9,543","298,492","19,320","19,320","144,991","9,839","9,839","153,501","9,481","9,481","297,614","19,120","19,120","144,563","9,731","9,731","153,051","9,389","9,389","297,055","18,896","18,896","144,256","9,615","9,615","152,799","9,281","9,281","296,590","18,739","18,739","144,032","9,551","9,551","152,558","9,188","9,188","296,122","18,577","18,577","143,793","9,472","9,472","152,329","9,105","9,105"
"경기도 경기도 고양시 일산서구 (4128700000)","293,847","19,849","19,849","142,407","10,030","10,030","151,440","9,819","9,819","292,943","19,650","19,650","141,900","9,927","9,927","151,043","9,723","9,723","291,860","19,455","19,455","141,350","9,802","9,802","150,510","9,653","9,653","291,302","19,211","19,211","141,066","9,704","9,704","150,236","9,507","9,507","290,738","19,027","19,027","140,815","9,620","9,620","149,923","9,407","9,407","290,325","18,886","18,886","140,665","9,574","9,574","149,660","9,312","9,312"
"경기도 경기도 과천시 (4129000000)","78,645","7,270","7,270","38,655","3,770","3,770","39,990","3,500","3,500","78,657","7,263","7,263","38,666","3,766","3,766","39,991","3,497","3,497","78,231","7,240","7,240","38,467","3,753","3,753","39,764","3,487","3,487","77,818","7,175","7,175","38,251","3,719","3,719","39,567","3,456","3,456","77,775","7,235","7,235","38,224","3,744","3,744","39,551","3,491","3,491","78,137","7,306","7,306","38,416","3,780","3,780","39,721","3,526","3,526"
"경기도 경기도 구리시 (4131000000)","190,323","13,268","13,268","94,287","6,872","6,872","96,036","6,396","6,396","189,960","13,145","13,145","94,045","6,808","6,808","95,915","6,337","6,337","189,231","13,017","13,017","93,716","6,727","6,727","95,515","6,290","6,290","189,008","12,930","12,930","93,626","6,682","6,682","95,382","6,248","6,248","188,876","12,826","12,826","93,537","6,631","6,631","95,339","6,195","6,195","188,701","12,734","12,734","93,442","6,576","6,576","95,259","6,158","6,158"
"경기도 경기도 남양주시 (4136000000)","736,864","61,014","61,014","366,308","31,349","31,349","370,556","29,665","29,665","737,059","60,652","60,652","366,331","31,173","31,173","370,728","29,479","29,479","737,059","60,446","60,446","366,306","31,079","31,079","370,753","29,367","29,367","737,352","60,082","60,082","366,348","30,864","30,864","371,004","29,218","29,218","737,366","59,695","59,695","366,323","30,684","30,684","371,043","29,011","29,011","737,353","59,370","59,370","366,261","30,527","30,527","371,092","28,843","28,843"
"경기도 경기도 오산시 (4137000000)","230,181","20,565","20,565","119,711","10,491","10,491","110,470","10,074","10,074","230,142","20,442","20,442","119,699","10,423","10,423","110,443","10,019","10,019","229,797","20,274","20,274","119,561","10,329","10,329","110,236","9,945","9,945","229,821","20,095","20,095","119,603","10,237","10,237","110,218","9,858","9,858","229,833","19,944","19,944","119,600","10,141","10,141","110,233","9,803","9,803","229,849","19,824","19,824","119,646","10,084","10,084","110,203","9,740","9,740"
"경기도 경기도 시흥시 (4139000000)","513,768","46,393","46,393","268,347","23,484","23,484","245,421","22,909","22,909","513,331","46,080","46,080","268,101","23,335","23,335","245,230","22,745","22,745","512,331","45,829","45,829","267,615","23,205","23,205","244,716","22,624","22,624","512,168","45,509","45,509","267,503","23,037","23,037","244,665","22,472","22,472","512,438","45,279","45,279","267,637","22,919","22,919","244,801","22,360","22,360","512,912","45,126","45,126","267,861","22,858","22,858","245,051","22,268","22,268"
"경기도 경기도 군포시 (4141000000)","267,672","17,829","17,829","132,798","9,144","9,144","134,874","8,685","8,685","267,651","17,766","17,766","132,817","9,124","9,124","134,834","8,642","8,642","267,032","17,624","17,624","132,542","9,054","9,054","134,490","8,570","8,570","266,735","17,494","17,494","132,379","8,986","8,986","134,356","8,508","8,508","266,531","17,362","17,362","132,304","8,917","8,917","134,227","8,445","8,445","266,213","17,241","17,241","132,165","8,864","8,864","134,048","8,377","8,377"
"경기도 경기도 의왕시 (4143000000)","161,296","12,212","12,212","80,018","6,261","6,261","81,278","5,951","5,951","161,047","12,181","12,181","79,909","6,254","6,254","81,138","5,927","5,927","160,759","12,080","12,080","79,758","6,212","6,212","81,001","5,868","5,868","160,563","12,036","12,036","79,640","6,183","6,183","80,923","5,853","5,853","160,464","11,990","11,990","79,541","6,149","6,149","80,923","5,841","5,841","160,221","11,940","11,940","79,417","6,111","6,111","80,804","5,829","5,829"
