기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액
2023,수원시,50대,남,1331037,28103538296.0,6554.0,243715651.0,21114.0
2023,수원시,50대,여,1363607,26726094634.0,7986.0,235729687.0,19600.0
2023,수원시,60대,남,560847,9986261139.0,2984.0,74017150.0,17806.0
2023,수원시,60대,여,613597,11611761510.0,3996.0,104848978.0,18924.0
2023,수원시,70대,남,130492,2442036155.0,735.0,22892909.0,18714.0
2023,수원시,70대,여,157027,3093577627.0,1131.0,34915218.0,19701.0
2023,수원시,80대 이상,남,21397,398828655.0,113.0,5129192.0,18639.0
2023,수원시,80대 이상,여,20573,375717872.0,175.0,4324563.0,18263.0
2023,수원시,기타,-,14215,237605513.0,152.0,2621338.0,16715.0
2023,시흥시,10대,남,155990,7947821890.0,417.0,40523056.0,50951.0
2023,시흥시,10대,여,178265,8690418197.0,530.0,52224769.0,48750.0
2023,시흥시,10대 미만,남,19393,1040715628.0,50.0,6247270.0,53664.0
2023,시흥시,10대 미만,여,18382,1118099947.0,60.0,9247810.0,60826.0
2023,시흥시,20대,남,287170,7611631026.0,2599.0,79770288.0,26506.0
2023,시흥시,20대,여,450335,11322208079.0,2325.0,91804277.0,25142.0
2023,시흥시,30대,남,505942,15616997594.0,1526.0,88335229.0,30867.0
2023,시흥시,30대,여,1243268,39780952377.0,4151.0,278253962.0,31997.0
2023,시흥시,40대,남,721722,31607828824.0,1959.0,164509304.0,43795.0
2023,시흥시,40대,여,1742618,72932984800.0,5601.0,456912550.0,41853.0
2023,시흥시,50대,남,430066,13946567166.0,848.0,61102191.0,32429.0
2023,시흥시,50대,여,1038587,27697051770.0,2421.0,124600674.0,26668.0
2023,시흥시,60대,남,193383,5156733258.0,393.0,22542301.0,26666.0
2023,시흥시,60대,여,374144,9134372355.0,1156.0,69027527.0,24414.0
2023,시흥시,70대,남,31308,937030454.0,97.0,5857875.0,29929.0
2023,시흥시,70대,여,39194,1168239291.0,162.0,9614431.0,29807.0
2023,시흥시,80대 이상,남,4508,126414752.0,14.0,735643.0,28042.0
2023,시흥시,80대 이상,여,4628,169094829.0,25.0,1854846.0,36537.0
2023,안산시,10대,남,94491,2045782191.0,453.0,19357833.0,21651.0
2023,안산시,10대,여,99022,2325482872.0,640.0,29272245.0,23485.0
2023,안산시,20대,남,763623,11638177061.0,4077.0,103159812.0,15241.0
2023,안산시,20대,여,743816,13163199663.0,5451.0,147587449.0,17697.0
2023,안산시,30대,남,696712,12908135529.0,3880.0,124105459.0,18527.0
2023,안산시,30대,여,779191,16554173593.0,5506.0,187724024.0,21245.0
2023,안산시,40대,남,947952,21772576278.0,5194.0,184131488.0,22968.0
2023,안산시,40대,여,1250049,27948916874.0,8428.0,288617860.0,22358.0
2023,안산시,50대,남,1020951,18918971114.0,5328.0,141105346.0,18531.0
2023,안산시,50대,여,1260199,23283115750.0,9465.0,238047352.0,18476.0
2023,안산시,60대,남,654338,11161164741.0,4404.0,104063544.0,17057.0
2023,안산시,60대,여,716953,12976049404.0,6493.0,165882656.0,18099.0
2023,안산시,70대,남,159706,2741066555.0,1388.0,29888693.0,17163.0
2023,안산시,70대,여,182903,3150241815.0,1644.0,39598452.0,17224.0
2023,안산시,80대 이상,남,33424,551649459.0,246.0,5968434.0,16505.0
2023,안산시,80대 이상,여,35382,636143109.0,269.0,6514980.0,17979.0
2023,안산시,기타,-,7300,145102250.0,62.0,1046447.0,19877.0
2023,안성시,10대,남,24377,407733461.0,108.0,2698560.0,16726.0
2023,안성시,10대,여,20108,410417776.0,111.0,3068461.0,20411.0
2023,안성시,20대,남,199852,3362218987.0,1327.0,54527591.0,16824.0
2023,안성시,20대,여,175406,3349484784.0,1363.0,35865390.0,19096.0
2023,안성시,30대,남,252114,5452554146.0,1909.0,88974559.0,21627.0
2023,안성시,30대,여,239155,6273797491.0,1964.0,77910685.0,26233.0
2023,안성시,40대,남,435607,13009208677.0,2688.0,135898939.0,29865.0
2023,안성시,40대,여,476804,14863500464.0,3433.0,162569785.0,31173.0
2023,안성시,50대,남,364893,8468770684.0,2396.0,122244179.0,23209.0
2023,안성시,50대,여,308528,7579266149.0,2367.0,76310543.0,24566.0
2023,안성시,60대,남,207047,5141500099.0,1367.0,58985588.0,24833.0
2023,안성시,60대,여,175920,4632050940.0,1392.0,50332765.0,26330.0
2023,안성시,70대,남,60259,1592598394.0,510.0,22250854.0,26429.0
2023,안성시,70대,여,44559,1200970910.0,415.0,13645950.0,26952.0
2023,안성시,80대 이상,남,9363,232269798.0,82.0,2595741.0,24807.0
2023,안성시,80대 이상,여,8908,244818487.0,86.0,1711762.0,27483.0
2023,안양시,10대,남,91619,2828493429.0,482.0,31998452.0,30872.0
2023,안양시,10대,여,100067,2819235189.0,603.0,37891585.0,28173.0
2023,안양시,20대,남,685303,10649057202.0,3570.0,92024870.0,15539.0
2023,안양시,20대,여,738005,13082752218.0,5070.0,133524765.0,17727.0
2023,안양시,30대,남,1007400,21499598420.0,5544.0,225223236.0,21342.0
2023,안양시,30대,여,1210249,28357116294.0,8061.0,378809778.0,23431.0
2023,안양시,40대,남,1290441,36341594160.0,7025.0,367144345.0,28162.0
2023,안양시,40대,여,1698078,44865794937.0,10497.0,506154639.0,26422.0
2023,안양시,50대,남,960815,20457467524.0,4929.0,178752093.0,21292.0
2023,안양시,50대,여,1242827,23648980803.0,7441.0,230479948.0,19028.0
2023,안양시,60대,남,535335,9262509665.0,2747.0,70521243.0,17302.0
2023,안양시,60대,여,724719,13125167865.0,4730.0,139125412.0,18111.0
2023,안양시,70대,남,120186,2191875890.0,662.0,19786655.0,18237.0
2023,안양시,70대,여,148047,2745364889.0,1046.0,30675922.0,18544.0
2023,안양시,80대 이상,남,16902,315459920.0,107.0,3067326.0,18664.0
2023,안양시,80대 이상,여,25733,465438542.0,167.0,4973935.0,18087.0
2023,안양시,기타,-,555584,7933833021.0,3592.0,56422132.0,14280.0
2023,양주시,10대,남,25646,465590885.0,136.0,7461548.0,18155.0
2023,양주시,10대,여,28600,565941380.0,184.0,5535265.0,19788.0
2023,양주시,20대,남,150790,2830268104.0,1350.0,70006930.0,18770.0
2023,양주시,20대,여,153843,3239106155.0,1487.0,57913541.0,21055.0
2023,양주시,30대,남,218956,6068997033.0,2368.0,178722885.0,27718.0
2023,양주시,30대,여,298789,9286019613.0,2775.0,175603636.0,31079.0
2023,양주시,40대,남,408889,13104534328.0,3561.0,274504749.0,32049.0
2023,양주시,40대,여,598213,18548817928.0,4786.0,261040404.0,31007.0
2023,양주시,50대,남,273395,6852327543.0,2494.0,161762542.0,25064.0
2023,양주시,50대,여,246732,6135624661.0,2051.0,93207993.0,24868.0
2023,양주시,60대,남,114799,2665809771.0,1027.0,77012509.0,23222.0
2023,양주시,60대,여,97274,2433696933.0,861.0,38338981.0,25019.0
2023,양주시,70대,남,27472,675631720.0,290.0,15552865.0,24593.0
2023,양주시,70대,여,26153,609544003.0,227.0,10267967.0,23307.0
2023,양주시,80대 이상,남,6328,140416153.0,38.0,1666018.0,22190.0
2023,양주시,80대 이상,여,4658,110145510.0,30.0,1382200.0,23647.0
2023,양주시,기타,-,74436,2372052022.0,625.0,30980652.0,31867.0
2023,양평군,10대,남,32986,647236901.0,194.0,7717169.0,19622.0
2023,양평군,10대,여,24116,544649470.0,188.0,9494408.0,22585.0
2023,양평군,20대,남,104197,2385389492.0,1082.0,49643294.0,22893.0
2023,양평군,20대,여,97219,2298819302.0,1082.0,39624764.0,23646.0
2023,양평군,30대,남,147553,3644438886.0,1431.0,82573311.0,24699.0
2023,양평군,30대,여,172669,4241430884.0,1908.0,79400612.0,24564.0
2023,양평군,40대,남,285334,7166732071.0,2602.0,135315715.0,25117.0
2023,양평군,40대,여,397768,9405486379.0,3428.0,128400758.0,23646.0
2023,양평군,50대,남,311945,7670394294.0,2586.0,133570300.0,24589.0
2023,양평군,50대,여,354930,9009146411.0,3289.0,140545259.0,25383.0
2023,양평군,60대,남,303887,8436972073.0,3257.0,190514288.0,27764.0
2023,양평군,60대,여,296321,8221654476.0,3145.0,155686236.0,27746.0
2023,양평군,70대,남,124503,3481573579.0,1259.0,71239673.0,27964.0
2023,양평군,70대,여,98783,2669744921.0,973.0,40022292.0,27026.0
2023,양평군,80대 이상,남,23206,656178957.0,227.0,10646579.0,28276.0
2023,양평군,80대 이상,여,15021,408132339.0,148.0,7176950.0,27171.0
2023,양평군,기타,-,142849,4716302088.0,1174.0,57623445.0,33016.0
